,sector,industry,ticker
0,Consumer Cyclical,Apparel Manufacturing,518
1,Consumer Cyclical,Apparel Manufacturing,8107
2,Consumer Cyclical,Department Stores,831
3,Consumer Cyclical,"Furnishings, Fixtures & Appliances",837
4,Financial Services,Capital Markets,8221
5,Industrials,Specialty Business Services,1540
6,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6822
7,Industrials,Electrical Equipment & Parts,3393
8,Financial Services,Capital Markets,1428
9,Consumer Cyclical,Personal Services,1161
10,Consumer Cyclical,Apparel Manufacturing,540
11,Consumer Cyclical,Auto Parts,6162
12,Real Estate,Real Estate—Development,106
13,Financial Services,Capital Markets,8098
14,Technology,Information Technology Services,1985
15,Real Estate,Real Estate—Development,2868
16,Consumer Cyclical,Apparel Retail,483
17,Industrials,Conglomerates,2182
18,Real Estate,Real Estate—Diversified,1240
19,Energy,Thermal Coal,1277
20,Real Estate,Real Estate—Development,2777
21,Utilities,Utilities—Regulated Water,6839
22,Real Estate,Real Estate—Development,1628
23,Real Estate,Real Estate—Diversified,978
24,Industrials,Infrastructure Operations,576
25,Energy,Thermal Coal,3668
26,Consumer Cyclical,Specialty Retail,6033
27,Industrials,Marine Shipping,560
28,Financial Services,Credit Services,8452
29,Real Estate,Real Estate—Development,832
30,Industrials,Engineering & Construction,1447
31,,,34
32,,,43
33,Consumer Cyclical,Apparel Manufacturing,1346
34,Consumer Cyclical,Textile Manufacturing,420
35,Healthcare,Drug Manufacturers—Specialty & Generic,1558
36,Technology,Electronic Components,9918
37,Consumer Cyclical,Apparel Manufacturing,3818
38,Technology,Communication Equipment,303
39,Energy,Oil & Gas Integrated,386
40,Real Estate,Real Estate—Development,588
41,Industrials,Marine Shipping,6119
42,Basic Materials,Specialty Chemicals,1986
43,Industrials,Farm & Heavy Construction Machinery,1122
44,Real Estate,Real Estate—Development,1862
45,,Type,41
46,Consumer Cyclical,Residential Construction,1098
47,Real Estate,Real Estate—Development,337
48,Real Estate,Real Estate Services,1730
49,Consumer Cyclical,Restaurants,573
50,Industrials,Engineering & Construction,331
51,Real Estate,Real Estate—Development,272
52,Technology,Software—Infrastructure,3315
53,Utilities,Utilities—Regulated Gas,2686
54,Financial Services,Credit Services,1606
55,Utilities,Utilities—Independent Power Producers,1853
56,Financial Services,Banks—Regional,6138
57,Real Estate,Real Estate Services,2772
58,,Type,26
59,Utilities,Utilities—Regulated Water,3768
60,Consumer Cyclical,Luxury Goods,3326
61,Basic Materials,Specialty Chemicals,2198
62,Consumer Cyclical,Luxury Goods,398
63,Industrials,Infrastructure Operations,152
64,Energy,Thermal Coal,1088
65,Financial Services,Credit Services,1669
66,Industrials,Electrical Equipment & Parts,1710
67,Real Estate,Real Estate—Development,230
68,Consumer Cyclical,Footwear & Accessories,1836
69,Real Estate,Real Estate Services,3990
