,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
0,Tungtex (Holdings) Company Limited,SEHK:518,518,1.025,Consumer Cyclical,Apparel Manufacturing,518
1,Vision International Holdings Limited,SEHK:8107,8107,29.0089,Consumer Cyclical,Apparel Manufacturing,8107
2,Convenience Retail Asia Limited,SEHK:831,831,2.5475,Consumer Cyclical,Department Stores,831
3,Carpenter Tan Holdings Limited,SEHK:837,837,11.4047,Consumer Cyclical,"Furnishings, Fixtures & Appliances",837
4,PF Group Holdings Limited,SEHK:8221,8221,-15.3226,Financial Services,Capital Markets,8221
5,Left Field Printing Group Limited,SEHK:1540,1540,12.139000000000001,Industrials,Specialty Business Services,1540
6,King's Flair International (Holdings) Limited,SEHK:6822,6822,9.6698,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6822
7,Wasion Holdings Limited,SEHK:3393,3393,9.2585,Industrials,Electrical Equipment & Parts,3393
8,Bright Smart Securities & Commodities Group Limited,SEHK:1428,1428,5.8022,Financial Services,Capital Markets,1428
9,Water Oasis Group Limited,SEHK:1161,1161,5.9885,Consumer Cyclical,Personal Services,1161
10,Speedy Global Holdings Limited,SEHK:540,540,-1.0714,Consumer Cyclical,Apparel Manufacturing,540
11,"China Tianrui Automotive Interiors Co., LTD",SEHK:6162,6162,4.4523,Consumer Cyclical,Auto Parts,6162
12,"Landsea Green Properties Co., Ltd.",SEHK:106,106,2.1336,Real Estate,Real Estate—Development,106
13,CL Group (Holdings) Limited,SEHK:8098,8098,6.0364,Financial Services,Capital Markets,8098
14,Microware Group Limited,SEHK:1985,1985,5.4202,Technology,Information Technology Services,1985
15,Beijing Capital Land Ltd.,SEHK:2868,2868,5.8238,Real Estate,Real Estate—Development,2868
16,Bauhaus International (Holdings) Limited,SEHK:483,483,-2.013,Consumer Cyclical,Apparel Retail,483
17,Tian Chang Group Holdings Ltd.,SEHK:2182,2182,3.8963,Industrials,Conglomerates,2182
18,CNQC International Holdings Limited,SEHK:1240,1240,14.6558,Real Estate,Real Estate—Diversified,1240
19,Kinetic Mines and Energy Limited,SEHK:1277,1277,3.8469,Energy,Thermal Coal,1277
20,"Guangzhou R&F Properties Co., Ltd.",SEHK:2777,2777,3.3829,Real Estate,Real Estate—Development,2777
21,"Yunnan Water Investment Co., Limited",SEHK:6839,6839,46.2294,Utilities,Utilities—Regulated Water,6839
22,Yuzhou Group Holdings Company Limited,SEHK:1628,1628,4.9017,Real Estate,Real Estate—Development,1628
23,China Merchants Land Limited,SEHK:978,978,3.4761,Real Estate,Real Estate—Diversified,978
24,"Zhejiang Expressway Co., Ltd.",SEHK:576,576,9.7675,Industrials,Infrastructure Operations,576
25,Yancoal Australia Ltd,SEHK:3668,3668,4.4652,Energy,Thermal Coal,3668
26,Telecom Digital Holdings Limited,SEHK:6033,6033,8.8479,Consumer Cyclical,Specialty Retail,6033
27,Chu Kong Shipping Enterprises (Group) Company Limited,SEHK:560,560,9.9996,Industrials,Marine Shipping,560
28,"FY Financial (Shenzhen) Co., Ltd.",SEHK:8452,8452,6.6957,Financial Services,Credit Services,8452
29,Central China Real Estate Limited,SEHK:832,832,4.1933,Real Estate,Real Estate—Development,832
30,SFK Construction Holdings Limited,SEHK:1447,1447,-4.0704,Industrials,Engineering & Construction,1447
31,Kowloon Development Company Limited,SEHK:34,34,8.8162,,,34
32,C.P. Pokphand Co. Ltd.,SEHK:43,43,6.2301,,,43
33,Lever Style Corporation,SEHK:1346,1346,51.2139,Consumer Cyclical,Apparel Manufacturing,1346
34,Fountain Set (Holdings) Limited,SEHK:420,420,27.4746,Consumer Cyclical,Textile Manufacturing,420
35,"YiChang HEC ChangJiang Pharmaceutical Co., Ltd.",SEHK:1558,1558,4.2097,Healthcare,Drug Manufacturers—Specialty & Generic,1558
36,Wise Ally International Holdings Limited,SEHK:9918,9918,-24.0513,Technology,Electronic Components,9918
37,"China Dongxiang (Group) Co., Ltd.",SEHK:3818,3818,3.2804,Consumer Cyclical,Apparel Manufacturing,3818
38,Vtech Holdings Limited,SEHK:303,303,10.754000000000001,Technology,Communication Equipment,303
39,China Petroleum & Chemical Corporation,SEHK:386,386,14.3109,Energy,Oil & Gas Integrated,386
40,Beijing North Star Company Limited,SEHK:588,588,19.5112,Real Estate,Real Estate—Development,588
41,Tian Yuan Group Holdings Limited,SEHK:6119,6119,8.3345,Industrials,Marine Shipping,6119
42,Tsaker Chemical Group Limited,SEHK:1986,1986,5.0859,Basic Materials,Specialty Chemicals,1986
43,"Qingling Motors Co., Ltd.",SEHK:1122,1122,14.9075,Industrials,Farm & Heavy Construction Machinery,1122
44,Jingrui Holdings Limited,SEHK:1862,1862,3.2881,Real Estate,Real Estate—Development,1862
45,Great Eagle Holdings Limited,SEHK:41,41,-2.469,,Type,41
46,Road King Infrastructure Limited,SEHK:1098,1098,3.0439999999999996,Consumer Cyclical,Residential Construction,1098
47,Greenland Hong Kong Holdings Limited,SEHK:337,337,2.3592,Real Estate,Real Estate—Development,337
48,LHN Limited,SEHK:1730,1730,3.1512,Real Estate,Real Estate Services,1730
49,Tao Heung Holdings Limited,SEHK:573,573,-20.1986,Consumer Cyclical,Restaurants,573
50,FSE Services Group Limited,SEHK:331,331,5.7986,Industrials,Engineering & Construction,331
51,Shui On Land Limited,SEHK:272,272,-7.9928,Real Estate,Real Estate—Development,272
52,Goldpac Group Limited,SEHK:3315,3315,7.8485,Technology,Software—Infrastructure,3315
53,AAG Energy Holdings Limited,SEHK:2686,2686,4.9791,Utilities,Utilities—Regulated Gas,2686
54,"China Development Bank Financial Leasing Co., Ltd.",SEHK:1606,1606,4.1106,Financial Services,Credit Services,1606
55,Jilin Province Chuncheng Heating Company Limited,SEHK:1853,1853,5.4568,Utilities,Utilities—Independent Power Producers,1853
56,"Harbin Bank Co., Ltd.",SEHK:6138,6138,3.2199,Financial Services,Banks—Regional,6138
57,Zhongliang Holdings Group Company Limited,SEHK:2772,2772,3.9958,Real Estate,Real Estate Services,2772
58,"China Motor Bus Company, Limited",SEHK:26,26,47.3419,,Type,26
59,"Kunming Dianchi Water Treatment Co., Ltd.",SEHK:3768,3768,4.7755,Utilities,Utilities—Regulated Water,3768
60,Perfect Group International Holdings Limited,SEHK:3326,3326,2.5432,Consumer Cyclical,Luxury Goods,3326
61,China Sanjiang Fine Chemicals Company Limited,SEHK:2198,2198,3.7987,Basic Materials,Specialty Chemicals,2198
62,Oriental Watch Holdings Limited,SEHK:398,398,13.4603,Consumer Cyclical,Luxury Goods,398
63,Shenzhen International Holdings Limited,SEHK:152,152,5.2170000000000005,Industrials,Infrastructure Operations,152
64,China Shenhua Energy Company Limited,SEHK:1088,1088,8.8764,Energy,Thermal Coal,1088
65,Global International Credit Group Limited,SEHK:1669,1669,3.1483,Financial Services,Credit Services,1669
66,Trio Industrial Electronics Group Limited,SEHK:1710,1710,31.4037,Industrials,Electrical Equipment & Parts,1710
67,Minmetals Land Limited,SEHK:230,230,16.8366,Real Estate,Real Estate—Development,230
68,Stella International Holdings Limited,SEHK:1836,1836,18.13,Consumer Cyclical,Footwear & Accessories,1836
69,Midea Real Estate Holding Limited,SEHK:3990,3990,3.9269,Real Estate,Real Estate Services,3990
70,Lion Rock Group Limited,SEHK:1127,1127,5.7004,Industrials,Specialty Business Services,1127
71,Vodatel Networks Holdings Limited,SEHK:8033,8033,-14.8727,Technology,Information Technology Services,8033
72,CR Construction Group Holdings Limited,SEHK:1582,1582,5.1172,Industrials,Engineering & Construction,1582
