"Name","Full Ticker","Ticker","P/E Ratio"
"Tungtex (Holdings) Company Limited","SEHK:518",518,1.025
"Vision International Holdings Limited","SEHK:8107",8107,29.0089
"Convenience Retail Asia Limited","SEHK:831",831,2.5475
"Carpenter Tan Holdings Limited","SEHK:837",837,11.4047
"PF Group Holdings Limited","SEHK:8221",8221,-15.3226
"Left Field Printing Group Limited","SEHK:1540",1540,12.139
"King's Flair International (Holdings) Limited","SEHK:6822",6822,9.6698
"Wasion Holdings Limited","SEHK:3393",3393,9.2585
"Bright Smart Securities & Commodities Group Limited","SEHK:1428",1428,5.8022
"Water Oasis Group Limited","SEHK:1161",1161,5.9885
"Speedy Global Holdings Limited","SEHK:540",540,-1.0714
"China Tianrui Automotive Interiors Co., LTD","SEHK:6162",6162,4.4523
"Landsea Green Properties Co., Ltd.","SEHK:106",106,2.1336
"CL Group (Holdings) Limited","SEHK:8098",8098,6.0364
"Microware Group Limited","SEHK:1985",1985,5.4202
"Beijing Capital Land Ltd.","SEHK:2868",2868,5.8238
"Bauhaus International (Holdings) Limited","SEHK:483",483,-2.013
"Tian Chang Group Holdings Ltd.","SEHK:2182",2182,3.8963
"CNQC International Holdings Limited","SEHK:1240",1240,14.6558
"Kinetic Mines and Energy Limited","SEHK:1277",1277,3.8469
"Guangzhou R&F Properties Co., Ltd.","SEHK:2777",2777,3.3829
"Yunnan Water Investment Co., Limited","SEHK:6839",6839,46.2294
"Yuzhou Group Holdings Company Limited","SEHK:1628",1628,4.9017
"China Merchants Land Limited","SEHK:978",978,3.4761
"Zhejiang Expressway Co., Ltd.","SEHK:576",576,9.7675
"Yancoal Australia Ltd","SEHK:3668",3668,4.4652
"Telecom Digital Holdings Limited","SEHK:6033",6033,8.8479
"Chu Kong Shipping Enterprises (Group) Company Limited","SEHK:560",560,9.9996
"FY Financial (Shenzhen) Co., Ltd.","SEHK:8452",8452,6.6957
"Central China Real Estate Limited","SEHK:832",832,4.1933
"SFK Construction Holdings Limited","SEHK:1447",1447,-4.0704
"Kowloon Development Company Limited","SEHK:34",34,8.8162
"C.P. Pokphand Co. Ltd.","SEHK:43",43,6.2301
"Lever Style Corporation","SEHK:1346",1346,51.2139
"Fountain Set (Holdings) Limited","SEHK:420",420,27.4746
"YiChang HEC ChangJiang Pharmaceutical Co., Ltd.","SEHK:1558",1558,4.2097
"Wise Ally International Holdings Limited","SEHK:9918",9918,-24.0513
"China Dongxiang (Group) Co., Ltd.","SEHK:3818",3818,3.2804
"Vtech Holdings Limited","SEHK:303",303,10.754
"China Petroleum & Chemical Corporation","SEHK:386",386,14.3109
"Beijing North Star Company Limited","SEHK:588",588,19.5112
"Tian Yuan Group Holdings Limited","SEHK:6119",6119,8.3345
"Tsaker Chemical Group Limited","SEHK:1986",1986,5.0859
"Qingling Motors Co., Ltd.","SEHK:1122",1122,14.9075
"Jingrui Holdings Limited","SEHK:1862",1862,3.2881
"Great Eagle Holdings Limited","SEHK:41",41,-2.469
"Road King Infrastructure Limited","SEHK:1098",1098,3.044
"Greenland Hong Kong Holdings Limited","SEHK:337",337,2.3592
"LHN Limited","SEHK:1730",1730,3.1512
"Tao Heung Holdings Limited","SEHK:573",573,-20.1986
"FSE Services Group Limited","SEHK:331",331,5.7986
"Shui On Land Limited","SEHK:272",272,-7.9928
"Goldpac Group Limited","SEHK:3315",3315,7.8485
"AAG Energy Holdings Limited","SEHK:2686",2686,4.9791
"China Development Bank Financial Leasing Co., Ltd.","SEHK:1606",1606,4.1106
"Jilin Province Chuncheng Heating Company Limited","SEHK:1853",1853,5.4568
"Harbin Bank Co., Ltd.","SEHK:6138",6138,3.2199
"Zhongliang Holdings Group Company Limited","SEHK:2772",2772,3.9958
"China Motor Bus Company, Limited","SEHK:26",26,47.3419
"Kunming Dianchi Water Treatment Co., Ltd.","SEHK:3768",3768,4.7755
"Perfect Group International Holdings Limited","SEHK:3326",3326,2.5432
"China Sanjiang Fine Chemicals Company Limited","SEHK:2198",2198,3.7987
"Oriental Watch Holdings Limited","SEHK:398",398,13.4603
"Shenzhen International Holdings Limited","SEHK:152",152,5.217
"China Shenhua Energy Company Limited","SEHK:1088",1088,8.8764
